image,source,method,output_width,output_height,target_size_source,fit_residual_rmse_px,fit_residual_max_px,matrix_error_vs_truth,transfer_rmse_vs_truth_px,transfer_max_vs_truth_px,target_mismatch_rmse_px,aspect_error_percent,solve_ms,solve_ms_std,warp_ms,warp_ms_std,image_mae_vs_opencv
fig1.jpg,phone,basic_dlt,676,594,estimated,1.3772064981792112e-08,2.4246703842616822e-08,,,,,,0.09255000622943044,0.0937577602822712,52.76479996973649,3.733879813468383,0.00021085277495533906
fig1.jpg,phone,normalized_dlt,676,594,estimated,3.054759450713627e-13,4.662231107088346e-13,,,,,,0.07254999945871532,0.03911729788842901,52.43659997358918,0.5463242399843132,0.00021085277495533906
fig1.jpg,phone,opencv,676,594,estimated,1.7074132785241e-13,2.7899160011332503e-13,,,,,,0.002500019036233425,0.020805308084289497,0.5253000417724252,3.618359607952261,
fig2.jpg,phone,basic_dlt,1114,682,estimated,3.286441221660144e-08,4.241236192523695e-08,,,,,,0.09134999709203839,0.06517807002619738,96.41559998271987,1.2973998317015727,0.00012284775127191296
fig2.jpg,phone,normalized_dlt,1114,682,estimated,3.8475370654800506e-13,7.009535407979766e-13,,,,,,0.07249999907799065,0.05458662756183133,93.63540000049397,2.4931011519067683,0.00012284775127191296
fig2.jpg,phone,opencv,1114,682,estimated,1.2000910798845766e-13,2.400182159769153e-13,,,,,,0.002500019036233425,0.007311389013554805,0.5023999838158488,0.04750363919224387,
fig3.jpg,phone,basic_dlt,964,911,estimated,2.331427508645587e-08,3.700975448751096e-08,,,,,,0.08995001553557813,0.04878593796916891,105.19619996193796,1.6130054957646482,0.00018902214064158213
fig3.jpg,phone,normalized_dlt,964,911,estimated,3.8919148012465145e-13,5.684341886080801e-13,,,,,,0.07180002285167575,0.04683195409477719,103.05670002708212,0.3905925635555381,0.00018902214064158213
fig3.jpg,phone,opencv,964,911,estimated,1.2335456884628123e-13,1.4863144824560033e-13,,,,,,0.002500019036233425,0.006593354387220499,0.5695000290870667,0.08344515533265699,
fig4.jpg,phone,basic_dlt,1000,629,estimated,9.409709646108356e-09,1.4382863642950538e-08,,,,,,0.08999998681247234,0.0757644661392051,73.27580003766343,0.6937142598156787,0.00015686274509803922
