value,n,paired_se,unpaired_se,se_ratio,t_paired,t_unpaired,t_ratio
4,300,7.568463135116608e-12,0.029113456769915485,3846680131.773798,-0.23665808324614004,-6.152268323308995e-11,3846680131.7737975
6,300,0.09387904302373863,0.09750703358720815,1.0386453722430056,-1.913955674812471,-1.842742215929957,1.0386453722430056
8,300,0.005704949964873932,0.021145630934543642,3.7065409976844417,-4.2774187993477675,-1.1540190171968867,3.7065409976844417
12,300,0.004890974731066128,0.016525697636309573,3.3788147649471343,-5.924335599172321,-1.7533768529228662,3.3788147649471347
20,300,0.0035906200330655677,0.012716400482401382,3.541561169184612,-7.508066355677501,-2.1199877672608753,3.5415611691846123
30,300,0.004073327940893871,0.010446283868778683,2.5645575363338655,-7.883772751424979,-3.074125902706452,2.5645575363338655
